Species,WtSpMean,WtSpN,WtSpSE,WingSpMean,WingSpN,WingSpSE,ECulmSpMean,ECulmSpN,ECulmSpSE,TarSpMean,TarSpN,TarSpSE, HClawSpMean, HClawSpN,HClawSpSE
Lamprolaima_rhami,2.098600974,2,0.152690825,4.269164132,2,0.049656427,2.750220775,2,0.022367947,1.839414559,2,0.04765509,1.274722585,2,0.111571776
Lepidopyga_coeruleogularis,,,,3.868966433,3,0.012197876,2.897421174,3,0.018225009,1.704748092,1,0.062416183,1.11168586,3,0.140306389
Lesbia_nuna,1.320955199,2,0.040021354,3.872504854,4,0.034753821,2.339926534,4,0.035434385,1.718072008,3,0.147722714,1.154709094,4,0.020056307
Lesbia_victoriae,1.566658968,2,0.062581571,3.951461791,9,0.065818552,2.727407503,9,0.0214262,1.710500004,2,0.081259465,1.203663708,9,0.094063583
Leucippus_baeri,1.458344533,2,0.023260008,4.032469159,2,0,2.997529041,2,0.037423945,1.680361275,2,0.221746252,1.158736853,2,0.094026116
Leucippus_chlorocercus,1.618161369,2,0.049545451,4.041239741,2,0.010545206,2.87356464,2,0,1.746128056,2,0.078421236,1.1150072,2,0.016394911
Leucippus_taczanowski,1.882920248,2,0.091160778,4.211495099,2,0.03557055,3.102036398,2,0.024724138,1.656000901,2,0.066765696,1.144243084,2,0.079532347
Leucochloris_albicollis,1.740466175,1,0.068264421,4.036008985,1,0.031914097,2.975529566,1,0.03370817,1.62924054,1,0.062416183,0.955511445,1,0.070118761
Lophornis_adorabilis,0.916290732,1,0.068264421,3.640214282,1,0.031914097,2.341805806,1,0.03370817,1.360976553,1,0.062416183,0.693147181,1,0.070118761
Lophornis_delattrei,,,,3.535546159,3,0.04971034,2.042253336,3,0.056994531,1.377427467,3,0.022378791,0.979720641,3,0.033407416
Lophornis_helenae,0.935901088,2,0.019610357,3.725507589,2,0.019279497,2.455075878,2,0.021462522,1.446295757,2,0.035308784,0.763028152,2,0.069880971
Lophornis_pavoninus,,,,3.768855094,3,0.040314363,2.233579497,3,0.003565096,1.62924054,2,0,1.014840813,3,0.053147885
Lophornis_verreauxii,1.098612289,1,0.068264421,3.708682081,1,0.031914097,2.714694744,1,0.03370817,1.667706821,1,0.062416183,0.916290732,1,0.070118761
Mellisuga_helenae,0.641853886,1,0.068264421,3.384390263,1,0.031914097,2.341805806,1,0.03370817,1.458615023,1,0.062416183,0.530628251,1,0.070118761
Metallura_aeneocauda,1.617915572,4,0.031610499,4.066182514,5,0.038181024,2.882675619,5,0.022391625,1.894601846,5,0.06190159,1.473041088,5,0.04479756
Metallura_eupogon,1.636682005,2,0.068066087,4.123148719,2,0.038854492,2.663014903,2,0.03834631,2.027801867,2,0.026321867,1.480570414,2,0.045485889
Metallura_odomae,1.657819747,2,0.028579207,4.061397806,2,0.07056362,2.763045093,2,0.015774179,2.115601872,2,0.036160331,1.193922468,2,0
